标题,报告类型,发布日期,机构
量化资产配置系列报告之九：基于基本面、市场情绪与动量因子的股...,基金,2024-05-21,平安证券股份有限公司
晨会,晨报,2024-05-21,万联证券股份有限公司
拱东医疗(605369)：2023年业绩短期承压 国际化步伐加速,公司,2024-05-21,国信证券股份有限公司
传媒互联网行业：5月国产游戏版号发放 暑期重点新游将陆续上线,行业,2024-05-21,中国银河证券股份有限公司
造纸轻工行业年报：造纸板块利润增长显著 轻工出口&个护及其他...,行业,2024-05-21,海通证券股份有限公司
电子行业动态点评：新一批安全可靠测评结果公告发布 信创CPU...,行业,2024-05-21,华泰证券股份有限公司
半导体行业动态分析：AI带动终端回暖 尖端先进封测需求增长强劲,行业,2024-05-21,华金证券股份有限公司
国泰君安晨报,晨报,2024-05-21,国泰君安证券股份有限公司
电力设备行业：工控观点更新：拐点向上 恢复增长信心,行业,2024-05-21,华福证券有限责任公司
造纸轻工行业周报：地产政策面持续回暖 家居板块弹性可期,行业,2024-05-21,海通证券股份有限公司
晨会纪要,晨报,2024-05-21,西部证券股份有限公司
建筑装饰行业投资策略周报：地产政策继续放松 建筑怎么配置,行业,2024-05-21,财通证券股份有限公司
5月20日信用债异常成交跟踪,债券,2024-05-21,国投证券股份有限公司
消费电子行业深度跟踪报告：季报业绩边际改善 关注GPT-4O...,行业,2024-05-21,招商证券股份有限公司
快递行业4月数据点评：新兴电商零售贡献快递增量 4月单量增速...,行业,2024-05-21,招商证券股份有限公司
晨会报告,晨报,2024-05-21,国信证券股份有限公司
欧圣电气(301187)首次覆盖报告：空气动力设备龙头 清洁...,创业板,2024-05-21,国泰君安证券股份有限公司
山东出版(601019)：探寻出版龙头的确定性、超预期和创新点,公司,2024-05-21,广发证券股份有限公司
金融行业周报：保险基本面改善预期提升 关注银行息差与房贷压力...,行业,2024-05-21,华龙证券股份有限公司
汽车行业周报：自主车企出海动作密集 乘用车出口销量可期,行业,2024-05-21,华龙证券股份有限公司
ETF周报：房地产及金融ETF表现较好 资金持续流入中证A50,基金,2024-05-21,华龙证券股份有限公司
食品饮料行业周观点：白酒小幅下跌 食饮企业逐步推进2024目...,行业,2024-05-21,万联证券股份有限公司
通信行业周观点：2024世界电信和信息社会日大会召开,行业,2024-05-21,万联证券股份有限公司
计算机行业周观点：继续关注AI产业大模型及算力的迭代更新,行业,2024-05-21,万联证券股份有限公司
龙大美食(002726)公司首次覆盖报告：“一体两翼”新布局...,公司,2024-05-21,开源证券股份有限公司
建材行业周报：地产政策密集出台 持续看好消费建材、玻纤等投资...,行业,2024-05-21,东北证券股份有限公司
晨会纪要,晨报,2024-05-21,国海证券股份有限公司
晨会聚焦,晨报,2024-05-21,中原证券股份有限公司
新凤鸣(603225)：长丝供需格局改善 一体化布局推动公司成长,公司,2024-05-21,东北证券股份有限公司
晨会焦点,晨报,2024-05-21,中国国际金融股份有限公司
公用事业行业周报：困局一周 电力6月大概率向好,行业,2024-05-21,海通国际证券集团有限公司
财政数据点评：土地出让金收支下滑或螺旋强化地产需求下行压力,宏观,2024-05-21,华金证券股份有限公司
申万宏源晨会报告,晨报,2024-05-21,上海申银万国证券研究所有限公司
江瀚新材(603281)首次覆盖：功能性硅烷领先企业 24Q...,公司,2024-05-21,海通国际证券集团有限公司
农心科技(001231)：农药制剂领先企业 积极拓展上游原药...,公司,2024-05-21,海通国际证券集团有限公司
宏观简评：5月17日地产政策解读：超预期的地产政策如何理解,宏观,2024-05-21,东海证券股份有限公司
食品饮料行业周报：地产政策积极 白酒需求有望修复,行业,2024-05-21,东海证券股份有限公司
新能源电力行业周报：光伏电池、组件短期盈利提升 关注各地海风...,行业,2024-05-21,东海证券股份有限公司
宏观经济点评：广义财政有望进一步发力,宏观,2024-05-21,开源证券股份有限公司
4月经济数据点评：经济分化延续 关注未来需求端变化,宏观,2024-05-21,万联证券股份有限公司
朝闻国盛：地产政策频发 家居预期修正 重视长久期资产低位配置...,晨报,2024-05-21,国盛证券有限责任公司
研究早观点,晨报,2024-05-21,山西证券股份有限公司
晨会纪要,晨报,2024-05-21,开源证券股份有限公司
商贸零售行业跟踪报告：4月印度培育钻石毛坯进口额同比跌幅缩小...,行业,2024-05-21,万联证券股份有限公司
宏观大类日报：有色板块整体启动 关注新一轮周期可能,宏观,2024-05-21,华泰期货有限公司
“双周期”框架体系下：如何有效“捕捉”风格与行业轮动？,策略,2024-05-21,国金证券股份有限公司
房地产行业点评报告：销售降幅扩大 开竣工及投资数据低位运行,行业,2024-05-21,开源证券股份有限公司
中小盘策略专题：SORA和世界模型殊途同归 自动驾驶行业有望加速,策略,2024-05-21,开源证券股份有限公司
农林牧渔行业深度研究：深度解析二次育肥 下半年猪价可期,行业,2024-05-21,国金证券股份有限公司
海通证券研究所每日报告精选,策略,2024-05-21,海通证券股份有限公司
计算机行业重大事项点评：信创：测评结果更新 重视行业边际变化,行业,2024-05-21,华创证券有限责任公司
综合金融服务行业周报：继续看好保险股估值修复,行业,2024-05-21,海通证券股份有限公司
2024年4月财政数据点评：广义支出有待加快,宏观,2024-05-21,海通证券股份有限公司
极米科技(688696)：利润阶段性承压 期待内外需协同改善,公司,2024-05-21,海通证券股份有限公司
晨会纪要,晨报,2024-05-21,平安证券股份有限公司
晨会集萃,晨报,2024-05-21,天风证券股份有限公司
新兴成长行业周报：智己L6全系标配ROBOSENSE激光雷达正式上市,行业,2024-05-21,国海证券股份有限公司
基础化工行业周报：工业一铵、PVC、维生素价格上涨 关注地产...,行业,2024-05-21,国海证券股份有限公司
农林牧渔行业周报：猪价进入上行期 养殖板块性机会来临,行业,2024-05-21,国海证券股份有限公司
债券研究周报：机构行为每周跟踪,债券,2024-05-21,国海证券股份有限公司
不动产与空间服务行业周评#391：上周楼市整体平稳 待政策效果,行业,2024-05-21,中国国际金融股份有限公司
家用电器行业事项点评：4月热泵出口环比增长 需求底部拐点将近,行业,2024-05-21,信达证券股份有限公司
通信行业点评：覆铜板价格上行 盈利水平持续修复,行业,2024-05-21,国盛证券有限责任公司
资本补充类工具专题：TLAC非资本债与二永债供给,债券,2024-05-21,民生证券股份有限公司
2024年4月快递数据点评：行业价值持续扩容 把握中通产品升...,行业,2024-05-21,上海申银万国证券研究所有限公司
贵金属行业专题报告：白银时代来临,行业,2024-05-21,民生证券股份有限公司
电子行业周报：GPT-4O横空出世 人机语音低延时交互时代开启,行业,2024-05-21,华鑫证券有限责任公司
巨化股份(600160)：受益制冷剂长景气 氟化工龙头向高端化蜕变,公司,2024-05-21,国联证券股份有限公司
长阳科技(688299)：反射膜业务稳中有进 CPI膜国产龙...,公司,2024-05-21,华鑫证券有限责任公司
通信行业深度：一文读懂量子计算原理,行业,2024-05-21,民生证券股份有限公司
国内需求周度跟踪：土地成交量价较弱 螺纹钢消费回升 整体价格...,债券,2024-05-21,天风证券股份有限公司
4月财政的3大信号：卖地收入下滑超两成,宏观,2024-05-21,国盛证券有限责任公司
非金属新材料行业专题研究：新材料23年报及24Q1综述,行业,2024-05-21,天风证券股份有限公司
电子行业周报：面板供给格局再度优化 下半年半导体有望迎来全面...,行业,2024-05-21,国信证券股份有限公司
消费电子行业研究周报：OPENAI和GOOGLE更新多模态 ...,行业,2024-05-21,天风证券股份有限公司
财富通每日策略,策略,2024-05-21,东莞证券股份有限公司
汽车行业研究周报：新能源汽车下乡：赋能乡村绿色出行 推动产业...,行业,2024-05-20,申港证券股份有限公司
社会服务行业周观点：“中国旅游日”出台利好措施 旅游市场注入...,行业,2024-05-20,万联证券股份有限公司
社会服务行业周报：五月主题思路继续发酵,行业,2024-05-20,财通证券股份有限公司
固收专题研究：万亿特别国债：节奏、冲击与影响,债券,2024-05-20,华泰证券股份有限公司
债市专题研究：基于欧奈尔杯柄理论看当前股债,债券,2024-05-20,浙商证券股份有限公司
每日报告回放,策略,2024-05-20,国泰君安证券股份有限公司
次新股周报：资金净流入比例新高 骏鼎达连续两周涨幅领衔,策略,2024-05-20,上海申银万国证券研究所有限公司
海思科(002653)：HSK16149获批DPNP 前景广阔,公司,2024-05-20,华泰证券股份有限公司
产业观察：数字经济周报：OPENAI发布全新GPT-4O模型,策略,2024-05-20,国泰君安证券股份有限公司
房地产行业点评报告：房价同环比降幅继续扩大 地产优化政策值得...,行业,2024-05-20,开源证券股份有限公司
医药生物行业周报：板块短期调整 行业有望逐季回暖,行业,2024-05-20,东海证券股份有限公司
银行行业深度报告：2024年上市银行一季报业绩解读：利润增速...,行业,2024-05-20,中国银河证券股份有限公司
化妆品医美行业胶原蛋白深度：美丽健康下一代成分王者 胶原蛋白...,行业,2024-05-20,上海申银万国证券研究所有限公司
ETF策略周报：月度分红产品趋势渐显,基金,2024-05-20,华宝证券股份有限公司
食品饮料行业周报：政策催化 关注白酒预期改善,行业,2024-05-20,华龙证券股份有限公司
天齐锂业(002466)：受高价精矿库存和SQM11亿美元税...,公司,2024-05-20,华福证券有限责任公司
新能源车产业跟踪：小米与京东达成战略合作 小鹏XNGP城区智...,策略,2024-05-20,国泰君安证券股份有限公司
机器人产业周报：OPENAI发布GPT-4O模型,策略,2024-05-20,国泰君安证券股份有限公司
家用电器业行业：央行发布重磅地产政策 家空内外销延续较好表现,行业,2024-05-20,国泰君安证券股份有限公司
环保行业：污染源扩容 催生多行业需求,行业,2024-05-20,国泰君安证券股份有限公司
国债期货周度跟踪：主力合约切换后的国债期货策略选择,债券,2024-05-20,国泰君安证券股份有限公司
公用环保202405第3期：国家发改委发布《电力市场运行基本...,行业,2024-05-20,国信证券股份有限公司
国联证券(601456)：并购方案落地 业务整合开启,公司,2024-05-20,国信证券股份有限公司
力芯微(688601)：消费电子结构性回暖 2024Q1利润大幅增长,公司,2024-05-20,华鑫证券有限责任公司
山西汾酒(600809)：品牌渠道基石稳固 产品区域轮动发力,公司,2024-05-20,华鑫证券有限责任公司
建筑和工程行业周报：房地产重磅政策出台 竣工端或迎边际改善,行业,2024-05-20,光大证券股份有限公司
半导体封测行业深度报告：摩尔定律重要方向 先进封装大有可为,行业,2024-05-20,华福证券有限责任公司
中国通号(688009)：盈利能力进一步提升 铁路订单创近五...,公司,2024-05-20,长江证券股份有限公司
恒瑞医药(600276)：GLP-1产品组合对外授权 创新出海密集兑现,公司,2024-05-20,东方证券股份有限公司
债券研究：密集政策下地产后周期转债的机会,债券,2024-05-20,国泰君安证券股份有限公司
市场中性策略基金系列(三)：产品打分框架及公私募绩效比较,基金,2024-05-20,海通证券股份有限公司
酒鬼酒(000799)：业绩仍承压 改革初见效,公司,2024-05-20,海通证券股份有限公司
基础化工行业周报：R32价格持续上涨 关注制冷剂投资机会,行业,2024-05-20,中邮证券有限责任公司
机器人产业链之丝杠行业机会,行业,2024-05-20,恒泰证券股份有限公司
希荻微(688173)：内外联动拓展产品线 延伸汽车、通信等前沿领域,公司,2024-05-20,中邮证券有限责任公司
锦江酒店(600754)：多维优化架构理顺 释放长期潜力,公司,2024-05-20,国泰君安证券股份有限公司
国防军工行业：大飞机和航空出口景气度持续抬升 新兴产业进展加...,行业,2024-05-20,广发证券股份有限公司
流动性打分周报：地产债和涉房城投债流动性上升,债券,2024-05-20,中邮证券有限责任公司
轻工制造行业周报：地产政策频发 家居预期修正 重视长久期资产...,行业,2024-05-20,国盛证券有限责任公司
市场策略报告：金融板块配置价值提升,策略,2024-05-20,首创证券股份有限公司
市场策略报告：MLF配合超长期特别国债等量平价续作,策略,2024-05-20,首创证券股份有限公司
机械设备行业投资周报：经济托底政策频出 积极关注顺周期板块,行业,2024-05-20,广发证券股份有限公司
公用事业行业深度跟踪：评估电改、煤价与发用电数据：电力的分歧...,行业,2024-05-20,广发证券股份有限公司
交通运输行业周报：快递行业需求景气且竞争趋缓 集运运价维持强...,行业,2024-05-20,国信证券股份有限公司
重庆啤酒(600132)：量价齐升收入稳增 成本下行盈利改善,公司,2024-05-20,海通证券股份有限公司
海泰新光(688677)：大客户新品延期影响逐步消化 发货量...,公司,2024-05-20,海通证券股份有限公司
机械行业周报：宇树发布第二款通用人形机器人G1 工程机械有望...,行业,2024-05-20,中国银河证券股份有限公司
光伏设备新技术系列(1)：去银化技术加速量产,行业,2024-05-20,中国国际金融股份有限公司
有色金属：锂盐下游库存累积 短期镍价有所提振,行业,2024-05-20,中国国际金融股份有限公司
固收定期报告：收益率继续下行 中长期债基久期下降明显,债券,2024-05-20,财通证券股份有限公司
A股投资策略周报告：政策发力内生增长 稳定市场预期,策略,2024-05-20,华龙证券股份有限公司
北方铜业(000737)：Q1业绩超预期 铜价上涨将进一步催化业绩释放,公司,2024-05-20,华福证券有限责任公司
“设备与经济”系列周观点：房市迎来重磅利好政策 工程机械有望...,行业,2024-05-20,招商证券股份有限公司
商贸社服行业周报：京东即时零售升级“京东秒送” 天猫618发...,行业,2024-05-20,招商证券股份有限公司
化工行业周报2024年5月第3周：异丁醛、R32价格持续上涨...,行业,2024-05-20,招商证券股份有限公司
农林牧渔行业周报：猪价持续上行 关注北方小麦收成,行业,2024-05-20,招商证券股份有限公司
计算机行业周报：大模型API降价趋势下 看好AI应用加速落地,行业,2024-05-20,华龙证券股份有限公司
电新&公用行业周报：藏东南特高压可研招标 水电发电量高增,行业,2024-05-20,华龙证券股份有限公司
低空经济系列(一)：混动电推进技术,策略,2024-05-20,国泰君安证券股份有限公司
中国建筑(601668)：4月新签增23% 地产权益销售额排名第一,公司,2024-05-20,国泰君安证券股份有限公司
化工周报：房地产政策频出 关注地产链相关化工股化工行业报告,行业,2024-05-20,恒泰证券股份有限公司
东兴晨报,晨报,2024-05-20,东兴证券股份有限公司
传媒行业周报：国内外AI大模型重磅迭代 应用落地场景加速,行业,2024-05-20,恒泰证券股份有限公司
机械设备行业周报：核能发展再迎利好 通用设备复苏存预期,行业,2024-05-20,华龙证券股份有限公司
信用策略周报：短久期低评级产业债表现较好,债券,2024-05-20,国泰君安证券股份有限公司
汽车智能化赛道1Q24&2023财报总结：需求有增量+成本有...,行业,2024-05-20,长城证券股份有限公司
投资策略周报：图解本周A股估值风格变化,策略,2024-05-20,长城证券股份有限公司
国泰君安晨报,晨报,2024-05-20,国泰君安证券股份有限公司
农林牧渔：从市场三方主体博弈推演生猪养殖行业后续发展趋势,行业,2024-05-20,华福证券有限责任公司
债券发行人2023年年报和2024年一季报点评：内外部现金流...,债券,2024-05-20,中国国际金融股份有限公司
航空货运与物流Ⅲ：竞争底线强化 从薄利多销走向量利双增,行业,2024-05-20,长江证券股份有限公司
策略专题报告：地产链拥挤度如何？,策略,2024-05-20,东北证券股份有限公司
光伏行业周报：美国关税政策密集变动 东南亚四国双反调查或影响...,行业,2024-05-20,甬兴证券有限公司
光伏设备行业深度研究：0BB量产节点延长设备行业景气度,行业,2024-05-20,国联证券股份有限公司
农林牧渔行业2023年报&2024年一季报总结：养殖景气低迷...,行业,2024-05-20,上海申银万国证券研究所有限公司
